,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
7,BSU_00110,SACI_RS07410,58.763000000000005,291,118,1,5,293,45,335,5.019999999999999e-122,349.0,294,0.9897959183673469,<=>
8,BSU_00120,SACI_RS07415,32.5,200,123,4,2,189,1,200,1.1699999999999999e-32,112.0,196,1.0204081632653061,<=>
10,BSU_00130,SACI_RS07555,35.714,434,253,5,6,417,8,437,3.839999999999999e-87,269.0,425,1.0211764705882354,<=>
16,BSU_00280,SACI_RS04265,32.536,209,109,9,4,203,2,187,8.19e-20,79.7,212,0.9858490566037735,<=>
23,BSU_00380,SACI_RS07355,26.785999999999998,560,354,19,10,528,5,549,1.34e-49,178.0,664,0.8433734939759037,<=>
34,BSU_00390,SACI_RS00470,29.365,252,156,8,1,247,1,235,7.320000000000001e-29,105.0,255,0.9882352941176471,<=>
38,BSU_00480,SACI_RS05695,50.42,119,58,1,5,122,4,122,5.4e-41,129.0,125,0.952,<=>
68,BSU_00750,SACI_RS06825,45.503,189,96,4,3,186,1,187,5.9e-56,172.0,194,0.9742268041237113,<=>
72,BSU_00820,SACI_RS00305,39.024,492,280,8,18,499,6,487,2.4399999999999994e-116,348.0,499,0.9859719438877755,<=>
84,BSU_00940,SACI_RS00725,43.497,469,252,8,3,463,4,467,6.589999999999997e-125,368.0,466,1.0064377682403434,<=>
87,BSU_01030,SACI_RS06960,27.363000000000003,201,121,7,38,224,29,218,2.5999999999999997e-11,57.4,232,0.8663793103448276,<=>
89,BSU_01060,SACI_RS03875,32.184,174,114,3,28,200,16,186,2.33e-33,114.0,201,0.8656716417910447,<=>
101,BSU_01120,SACI_RS02865,28.534000000000002,757,407,19,9,688,19,718,6.189999999999998e-78,260.0,692,1.0939306358381502,<=>
104,BSU_01130,SACI_RS03255,33.18,434,227,14,9,391,3,424,5.609999999999999e-58,191.0,396,1.095959595959596,<=>
109,BSU_01150,SACI_RS03250,39.394,99,58,2,5,102,4,101,2.11e-15,62.4,102,0.9705882352941176,<=>
114,BSU_01210,SACI_RS02810,29.285999999999998,140,65,4,3,109,17,155,4.5399999999999996e-07,42.0,113,1.238938053097345,<=>
115,BSU_01220,SACI_RS02805,30.928,194,115,5,38,217,18,206,2.8399999999999997e-17,73.9,218,0.8899082568807339,<=>
116,BSU_01240,SACI_RS02800,35.0,60,39,0,1,60,3,62,1.12e-07,40.4,66,0.9090909090909091,<=>
117,BSU_01260,SACI_RS02785,44.0,125,62,5,2,122,18,138,1.93e-25,89.7,122,1.0245901639344261,<=>
120,BSU_01300,SACI_RS02765,31.915,141,79,5,1,132,1,133,9.46e-14,60.1,132,1.0681818181818181,<=>
